Date,Open,High,Low,Close,Adj Close,Volume
1996-02-22,253.447800,253.447800,253.447800,253.447800,51.460205,1754802
1996-02-23,252.151398,252.151398,252.151398,252.151398,51.196999,2622706
1996-02-26,251.503204,251.503204,251.503204,251.503204,51.065376,1133831
1996-02-27,252.151398,252.151398,252.151398,252.151398,51.196999,3274077
1996-02-28,254.095993,254.095993,254.095993,254.095993,51.591827,3660425
1996-02-29,253.447800,253.447800,253.447800,253.447800,51.460205,3488235
1996-03-01,253.447800,253.447800,253.447800,253.447800,51.460205,5270179
1996-03-04,254.095993,254.095993,254.095993,254.095993,51.591827,2734747
1996-03-05,253.447800,253.447800,253.447800,253.447800,51.460205,3615760
1996-03-06,252.151398,252.151398,252.151398,252.151398,51.196999,6338243
1996-03-07,252.799606,252.799606,252.799606,252.799606,51.328602,8872642
1996-03-08,252.799606,252.799606,252.799606,252.799606,51.328602,2940656
1996-03-11,249.558594,249.558594,249.558594,249.558594,50.670528,2738091
1996-03-12,249.558594,249.558594,249.558594,249.558594,50.670528,5614957
1996-03-13,249.558594,249.558594,249.558594,249.558594,50.670528,1071863
1996-03-14,248.910294,248.910294,248.910294,248.910294,50.538914,2856304
1996-03-15,246.965698,246.965698,246.965698,246.965698,50.144089,2763033
1996-03-18,246.965698,246.965698,246.965698,246.965698,50.144089,1678487
1996-03-19,246.965698,246.965698,246.965698,246.965698,50.144089,3179788
1996-03-20,246.317505,246.317505,246.317505,246.317505,50.012478,3533203
1996-03-21,246.317505,246.317505,246.317505,246.317505,50.012478,3452376
1996-03-22,246.965698,246.965698,246.965698,246.965698,50.144089,7581721
1996-03-25,249.558594,249.558594,249.558594,249.558594,50.670528,4678405
1996-03-26,248.910294,248.910294,248.910294,248.910294,50.538914,1961568
1996-03-27,248.910294,248.910294,248.910294,248.910294,50.538914,6304327
1996-03-28,248.910294,248.910294,248.910294,248.910294,50.538914,2981237
1996-03-29,252.475494,252.475494,252.475494,252.475494,51.262794,5935939
1996-04-01,256.040588,256.040588,256.040588,256.040588,51.986656,1742979
1996-04-02,255.392395,255.392395,255.392395,255.392395,51.855038,2686527
1996-04-03,256.688812,256.688812,256.688812,256.688812,52.118286,3361481
1996-04-04,258.633392,258.633392,258.633392,258.633392,52.513100,6195402
1996-04-05,258.633392,258.633392,258.633392,258.633392,52.513100,0
1996-04-08,258.633392,258.633392,258.633392,258.633392,52.513100,0
1996-04-09,257.985199,257.985199,257.985199,257.985199,52.381493,1767950
1996-04-10,254.095993,254.095993,254.095993,254.095993,51.591827,4490783
1996-04-11,254.095993,254.095993,254.095993,254.095993,51.591827,3146675
1996-04-12,254.095993,254.095993,254.095993,254.095993,51.591827,3823026
1996-04-15,251.503204,251.503204,251.503204,251.503204,51.065376,4056495
1996-04-16,250.206802,250.206802,250.206802,250.206802,50.802143,3149439
1996-04-17,250.854996,250.854996,250.854996,250.854996,50.933758,6903415
1996-04-18,250.854996,250.854996,250.854996,250.854996,50.933758,5141029
1996-04-19,252.151398,252.151398,252.151398,252.151398,51.196999,2402687
1996-04-22,257.337006,257.337006,257.337006,257.337006,52.249874,4358278
1996-04-23,259.929810,259.929810,259.929810,259.929810,52.776325,9213690
1996-04-24,261.226196,261.226196,261.226196,261.226196,53.039551,4377791
1996-04-25,256.688812,256.688812,256.688812,256.688812,52.118286,2915179
1996-04-26,257.337006,257.337006,257.337006,257.337006,52.249874,2755366
1996-04-29,257.985199,257.985199,257.985199,257.985199,52.381493,1403247
1996-04-30,265.763702,265.763702,265.763702,265.763702,53.960842,24742363
1996-05-01,258.633392,258.633392,258.633392,258.633392,52.513100,4295395
1996-05-02,257.337006,257.337006,257.337006,257.337006,52.249874,7187816
1996-05-03,257.337006,257.337006,257.337006,257.337006,52.249874,2147121
1996-05-06,257.337006,257.337006,257.337006,257.337006,52.249874,0
1996-05-07,257.337006,257.337006,257.337006,257.337006,52.249874,40391412
1996-05-08,255.392395,255.392395,255.392395,255.392395,51.855038,2770
1996-05-09,252.799606,252.799606,252.799606,252.799606,51.328602,1984016
1996-05-10,252.799606,252.799606,252.799606,252.799606,51.328602,2379906
1996-05-13,249.558594,249.558594,249.558594,249.558594,50.670528,2588050
1996-05-14,241.780106,241.780106,241.780106,241.780106,49.091190,11145057
1996-05-15,243.076508,243.076508,243.076508,243.076508,49.354435,3894870
1996-05-16,241.780106,241.780106,241.780106,241.780106,49.091190,3855579
1996-05-17,241.780106,241.780106,241.780106,241.780106,49.091190,3974442
1996-05-20,239.187302,239.187302,239.187302,239.187302,48.564751,2426130
1996-05-21,237.890900,237.890900,237.890900,237.890900,48.301537,3155998
1996-05-22,230.112396,230.112396,230.112396,230.112396,46.722172,8917121
1996-05-23,228.815994,228.815994,228.815994,228.815994,46.458954,4401310
1996-05-24,232.057007,232.057007,232.057007,232.057007,47.117008,1608323
1996-05-27,232.057007,232.057007,232.057007,232.057007,47.117008,0
1996-05-28,232.057007,232.057007,232.057007,232.057007,47.117008,1206563
1996-05-29,230.760605,230.760605,230.760605,230.760605,46.853783,1036276
1996-05-30,234.001694,234.001694,234.001694,234.001694,47.511864,2076324
1996-05-31,235.946304,235.946304,235.946304,235.946304,47.906712,2045168
1996-06-03,237.890900,237.890900,237.890900,237.890900,48.301537,2050568
1996-06-04,235.298096,235.298096,235.298096,235.298096,47.775101,1369343
1996-06-05,233.353394,233.353394,233.353394,233.353394,47.380222,782943
1996-06-06,236.594498,236.594498,236.594498,236.594498,48.038307,3664890
1996-06-07,230.112396,230.112396,230.112396,230.112396,46.722172,1577496
1996-06-10,218.444794,218.444794,218.444794,218.444794,45.947746,2128421
1996-06-11,219.093002,219.093002,219.093002,219.093002,46.084103,912828
1996-06-12,226.871399,226.871399,226.871399,226.871399,47.720215,12349764
1996-06-13,225.574997,225.574997,225.574997,225.574997,47.447536,1282606
1996-06-14,224.278595,224.278595,224.278595,224.278595,47.174835,1960086
1996-06-17,225.574997,225.574997,225.574997,225.574997,47.447536,375250
1996-06-18,224.278595,224.278595,224.278595,224.278595,47.174835,3444711
1996-06-19,222.334000,222.334000,222.334000,222.334000,46.765812,1286178
1996-06-20,222.334000,222.334000,222.334000,222.334000,46.765812,2033225
1996-06-21,225.574997,225.574997,225.574997,225.574997,47.447536,6520209
1996-06-24,224.926804,224.926804,224.926804,224.926804,47.311172,2059309
1996-06-25,221.037598,221.037598,221.037598,221.037598,46.493111,58101391
1996-06-26,221.685806,221.685806,221.685806,221.685806,46.629478,58679598
1996-06-27,221.037598,221.037598,221.037598,221.037598,46.493111,2522136
1996-06-28,221.037598,221.037598,221.037598,221.037598,46.493111,960981
1996-07-01,222.982193,222.982193,222.982193,222.982193,46.902153,1111544
1996-07-02,224.278595,224.278595,224.278595,224.278595,47.174835,1503633
1996-07-03,222.982193,222.982193,222.982193,222.982193,46.902153,2382156
1996-07-04,225.574997,225.574997,225.574997,225.574997,47.447536,2713394
1996-07-05,222.334000,222.334000,222.334000,222.334000,46.765812,1262905
1996-07-08,220.389404,220.389404,220.389404,220.389404,46.356785,984076
1996-07-09,220.389404,220.389404,220.389404,220.389404,46.356785,683590
1996-07-10,217.796494,217.796494,217.796494,217.796494,45.811386,2169598
1996-07-11,217.796494,217.796494,217.796494,217.796494,45.811386,5322758
1996-07-12,219.093002,219.093002,219.093002,219.093002,46.084103,725336
1996-07-15,219.093002,219.093002,219.093002,219.093002,46.084103,459461
1996-07-16,213.907303,213.907303,213.907303,213.907303,44.993336,875442
1996-07-17,219.093002,219.093002,219.093002,219.093002,46.084103,2077142
1996-07-18,221.685806,221.685806,221.685806,221.685806,46.629478,1188143
1996-07-19,221.685806,221.685806,221.685806,221.685806,46.629478,466884
1996-07-22,221.037598,221.037598,221.037598,221.037598,46.493111,1171026
1996-07-23,220.389404,220.389404,220.389404,220.389404,46.356785,3569720
1996-07-24,222.334000,222.334000,222.334000,222.334000,46.765812,1265016
1996-07-25,226.871399,226.871399,226.871399,226.871399,47.720215,542805
1996-07-26,229.464203,229.464203,229.464203,229.464203,48.265587,1152837
1996-07-29,229.464203,229.464203,229.464203,229.464203,48.265587,1678802
1996-07-30,232.705200,232.705200,232.705200,232.705200,48.947292,1202491
1996-07-31,228.167801,228.167801,228.167801,228.167801,47.992897,5305711
1996-08-01,228.815994,228.815994,228.815994,228.815994,48.129246,6363563
1996-08-02,228.167801,228.167801,228.167801,228.167801,47.992897,2960297
1996-08-05,227.519608,227.519608,227.519608,227.519608,47.856560,1669199
1996-08-06,228.167801,228.167801,228.167801,228.167801,47.992897,1826957
1996-08-07,226.871399,226.871399,226.871399,226.871399,47.720215,2923785
1996-08-08,226.871399,226.871399,226.871399,226.871399,47.720215,5740368
1996-08-09,226.223206,226.223206,226.223206,226.223206,47.583878,1113216
1996-08-12,227.519608,227.519608,227.519608,227.519608,47.856560,1990764
1996-08-13,213.907303,213.907303,213.907303,213.907303,44.993336,14514169
1996-08-14,217.148300,217.148300,217.148300,217.148300,45.675056,9753277
1996-08-15,219.093002,219.093002,219.093002,219.093002,46.084103,2831896
1996-08-16,218.444794,218.444794,218.444794,218.444794,45.947746,2711202
1996-08-19,217.796494,217.796494,217.796494,217.796494,45.811386,1515780
1996-08-20,220.389404,220.389404,220.389404,220.389404,46.356785,5503188
1996-08-21,221.685806,221.685806,221.685806,221.685806,46.629478,2085104
1996-08-22,230.760605,230.760605,230.760605,230.760605,48.538277,5460136
1996-08-23,230.760605,230.760605,230.760605,230.760605,48.538277,1700475
1996-08-26,230.760605,230.760605,230.760605,230.760605,48.538277,0
1996-08-27,234.649902,234.649902,234.649902,234.649902,49.356354,1187326
